iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,population
BRA,South America,Brazil,27/12/20,7484285,18479,191139,344,212559409
BRA,South America,Brazil,28/12/20,7504833,20548,191570,431,212559409
BRA,South America,Brazil,29/12/20,7563551,58718,192681,1111,212559409
BRA,South America,Brazil,30/12/20,7619200,55649,193875,1194,212559409
BRA,South America,Brazil,31/12/20,7675973,56773,194949,1074,212559409
BRA,South America,Brazil,01/01/21,7700578,24605,195411,462,212559409
BRA,South America,Brazil,02/01/21,7716405,15827,195725,314,212559409
BRA,South America,Brazil,03/01/21,7733746,17341,196018,293,212559409
BRA,South America,Brazil,04/01/21,7753752,20006,196561,543,212559409
BRA,South America,Brazil,05/01/21,7810400,56648,197732,1171,212559409
BRA,South America,Brazil,06/01/21,7873830,63430,198974,1242,212559409
BRA,South America,Brazil,07/01/21,7961673,87843,200498,1524,212559409
BRA,South America,Brazil,08/01/21,8013708,52035,201460,962,212559409
BRA,South America,Brazil,09/01/21,8075998,62290,202631,1171,212559409
BRA,South America,Brazil,10/01/21,8105790,29792,203100,469,212559409
BRA,South America,Brazil,11/01/21,8131612,25822,203580,480,212559409
BRA,South America,Brazil,12/01/21,8195637,64025,204690,1110,212559409
BRA,South America,Brazil,13/01/21,8256536,60899,205964,1274,212559409
BRA,South America,Brazil,14/01/21,8324294,67758,207095,1131,212559409
BRA,South America,Brazil,15/01/21,8393492,69198,208246,1151,212559409
BRA,South America,Brazil,16/01/21,8455059,61567,209296,1050,212559409
BRA,South America,Brazil,17/01/21,8488099,33040,209847,551,212559409
BRA,South America,Brazil,18/01/21,8511770,23671,210299,452,212559409
BRA,South America,Brazil,19/01/21,8573864,62094,211491,1192,212559409
BRA,South America,Brazil,20/01/21,8638249,64385,212831,1340,212559409
BRA,South America,Brazil,21/01/21,8697368,59119,214147,1316,212559409
BRA,South America,Brazil,22/01/21,8753920,56552,215243,1096,212559409
BRA,South America,Brazil,23/01/21,8816254,62334,216445,1202,212559409
BRA,South America,Brazil,24/01/21,8844577,28323,217037,592,212559409
BRA,South America,Brazil,25/01/21,8871393,26816,217664,627,212559409
BRA,South America,Brazil,26/01/21,8933356,61963,218878,1214,212559409
BRA,South America,Brazil,27/01/21,8996876,63520,220161,1283,212559409
BRA,South America,Brazil,28/01/21,9058687,61811,221547,1386,212559409
BRA,South America,Brazil,29/01/21,9118513,59826,222666,1119,212559409
BRA,South America,Brazil,30/01/21,9176975,58462,223945,1279,212559409
BRA,South America,Brazil,31/01/21,9204731,27756,224504,559,212559409
BRA,South America,Brazil,01/02/21,9229322,24591,225099,595,212559409
BRA,South America,Brazil,02/02/21,9283418,54096,226309,1210,212559409
BRA,South America,Brazil,03/02/21,9339420,56002,227563,1254,212559409
BRA,South America,Brazil,04/02/21,9396293,56873,228795,1232,212559409
BRA,South America,Brazil,05/02/21,9447165,50872,230034,1239,212559409
BRA,South America,Brazil,06/02/21,9447165,0,230034,0,212559409
BRA,South America,Brazil,07/02/21,9524640,77475,231534,1500,212559409
BRA,South America,Brazil,08/02/21,9524640,0,231534,0,212559409
BRA,South America,Brazil,09/02/21,9599565,74925,233520,1986,212559409
BRA,South America,Brazil,10/02/21,9659167,59602,234850,1330,212559409
BRA,South America,Brazil,11/02/21,9713909,54742,236201,1351,212559409
BRA,South America,Brazil,12/02/21,9765455,51546,237489,1288,212559409
BRA,South America,Brazil,13/02/21,9809754,44299,238532,1043,212559409
BRA,South America,Brazil,14/02/21,9834513,24759,239245,713,212559409
BRA,South America,Brazil,15/02/21,9866710,32197,239773,528,212559409
BRA,South America,Brazil,16/02/21,9921981,55271,240940,1167,212559409
BRA,South America,Brazil,17/02/21,9978747,56766,242090,1150,212559409
BRA,South America,Brazil,18/02/21,10030626,51879,243457,1367,212559409
BRA,South America,Brazil,19/02/21,10084208,53582,244737,1280,212559409
BRA,South America,Brazil,20/02/21,10139148,54940,245977,1240,212559409
BRA,South America,Brazil,21/02/21,10168174,29026,246504,527,212559409
BRA,South America,Brazil,22/02/21,10195160,26986,247143,639,212559409
BRA,South America,Brazil,23/02/21,10257875,62715,248529,1386,212559409
BRA,South America,Brazil,24/02/21,10324463,66588,249957,1428,212559409
BRA,South America,Brazil,25/02/21,10390461,65998,251498,1541,212559409
BRA,South America,Brazil,26/02/21,10455630,65169,252835,1337,212559409
BRA,South America,Brazil,27/02/21,10517232,61602,254221,1386,212559409
BRA,South America,Brazil,28/02/21,10551259,34027,254942,721,212559409
BRA,South America,Brazil,01/03/21,10587001,35742,255720,778,212559409
BRA,South America,Brazil,02/03/21,10646926,59925,257361,1641,212559409
BRA,South America,Brazil,03/03/21,10718630,71704,259271,1910,212559409
BRA,South America,Brazil,04/03/21,10793732,75102,260970,1699,212559409
BRA,South America,Brazil,05/03/21,10869227,75495,262770,1800,212559409
BRA,South America,Brazil,06/03/21,10938836,69609,264325,1555,212559409
BRA,South America,Brazil,07/03/21,11019344,80508,265411,1086,212559409
BRA,South America,Brazil,08/03/21,11051665,32321,266398,987,212559409
